File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.12,0.92,-0.24,30.8,0.978
-0.03,1.02,-0.28,30.6,0.975
0.07,1.02,-0.13,30.6,0.978
0.08,0.94,-0.3,30.8,0.978
-0.12,0.68,-0.39,30.8,0.978
-0.28,0.67,-0.4,30.8,0.981
-0.34,0.67,-0.39,30.6,0.981
-0.27,0.76,-0.46,30.8,0.978
-0.22,0.84,-0.49,30.8,0.978
-0.23,1.01,-0.55,30.8,0.978
-0.26,1.06,-0.54,30.6,0.987
-0.23,1.08,-0.61,30.8,0.984
-0.11,0.85,-0.58,30.6,0.987
-0.2,0.56,-0.49,30.6,0.99
-0.35,0.29,-0.31,30.8,0.996
-0.45,0.2,-0.02,30.8,0.993
-0.39,0.15,0.08,30.8,0.996
-0.11,0.41,0,30.8,0.996
0.64,1.46,-0.77,30.8,1
0.4,1.15,-0.95,30.8,1.002
-0.14,1.16,-0.34,30.8,0.996
0,0.96,-0.41,30.8,1.002
0.14,0.81,-0.43,30.8,1.002
0.25,0.71,-0.53,30.8,1.006
0.2,0.64,-0.48,30.8,1.002
0.22,0.8,-0.63,30.6,1.008
0.24,0.91,-0.62,30.8,1.006
0.22,0.98,-0.64,30.8,1.006
0.02,0.91,-0.63,30.6,1.006
-0.15,0.64,-0.36,30.6,1.002
-0.34,0.48,-0.14,30.6,1.002
-0.37,0.31,0.07,30.6,1.006
-0.06,0.81,-0.56,30.8,1.006
-0.24,0.74,-0.5,30.8,1.006
-0.37,0.68,-0.34,30.8,1.006
-0.31,0.73,-0.38,30.8,1.006
-0.28,0.78,-0.42,30.8,1.014
-0.11,1.04,-0.71,30.8,1.012
-0.26,0.95,-0.5,30.8,1.012
-0.45,0.71,-0.22,30.8,1.014
-0.51,0.47,0.06,30.8,1.014
-0.48,0.45,0.18,30.6,1.014
0.04,1.25,-0.68,30.8,1.012
-0.22,1.05,-0.59,30.8,1.012
-0.42,0.85,-0.16,30.8,1.014
-0.27,0.79,-0.24,30.8,1.012
-0.09,0.89,-0.4,30.8,1.012
-0.09,0.86,-0.41,30.8,1.012
-0.16,0.84,-0.36,30.8,1.012
-0.18,0.85,-0.39,30.8,1.012
-0.16,0.84,-0.4,30.6,1.006
-0.15,0.79,-0.4,30.8,1.008
-0.16,0.76,-0.41,30.8,1.008
-0.19,0.79,-0.44,30.8,1.006
-0.22,0.85,-0.49,30.8,1.008
-0.23,0.85,-0.5,30.6,1.008
-0.23,0.79,-0.5,30.8,1.006
-0.22,0.8,-0.5,30.8,1.006
-0.21,0.82,-0.5,30.8,1.008
-0.22,0.87,-0.54,30.8,1.002
-0.26,0.9,-0.53,30.8,1.006
-0.37,0.83,-0.4,30.8,1.006
-0.46,0.75,-0.23,30.8,1.006
-0.53,0.52,-0.05,30.8,1.006
-0.67,0.41,0.33,30.8,1.006
-0.5,0.46,-0.32,30.6,1.002
-0.36,1.08,-0.6,30.8,1
-0.57,0.96,-0.26,30.8,0.996
-0.67,0.94,-0.04,30.8,0.996
-0.7,0.95,-0.1,30.8,1
-0.56,0.77,-0.24,30.8,1
-0.26,0.28,-0.36,30.6,1
-0.23,0.33,-0.19,30.8,1
-0.22,0.88,-0.9,30.8,1
0.26,1.41,-0.71,30.6,0.996
0.27,1.89,-0.28,30.8,0.99
-0.43,1.55,-0.17,30.8,0.975
-0.5,0.7,-0.09,30.8,0.966
-0.66,0.36,0.05,30.6,0.969
-0.66,0.01,0.6,30.8,0.969
-0.69,-0.8,0.37,30.8,0.969
-0.57,1.24,-0.42,30.8,0.969
-0.65,2.12,-0.52,30.6,0.966
-0.82,0.58,0.09,30.8,0.966
-0.83,0.36,0.29,30.8,0.969
-0.65,0.8,-0.1,30.8,0.969
-0.74,0.76,-0.03,30.8,0.972
-0.77,0.68,0,30.6,0.975
-0.72,0.72,0.04,30.8,0.978
-0.74,0.75,0,30.8,0.981
-0.74,0.74,0.09,30.8,0.981
-0.72,0.74,0.04,30.8,0.987
-0.7,0.72,0.07,30.8,0.987
-0.78,0.67,0.11,30.8,0.99
-0.81,0.7,0.1,30.8,0.99
-0.81,0.72,0.05,30.8,0.99
-0.8,0.69,0.03,30.8,0.99
-0.81,0.67,0.06,30.8,0.99
-0.8,0.63,0.05,30.8,1
-0.78,0.63,0.07,30.8,1
-0.74,0.5,0.1,30.8,1
-0.71,0.65,0.13,30.8,0.996
-0.72,0.66,0.03,30.8,1
-0.66,1.01,-0.09,30.8,0.996
-0.5,0.73,-0.42,30.8,1
-0.57,1,-0.23,30.8,1.002
-0.59,0.84,-0.08,30.8,1.002
-0.55,0.68,0.14,30.8,1.002
-0.54,0.58,0.33,30.8,1.006
-0.5,0.54,0.49,30.8,1.002
-0.46,0.44,0.49,30.8,1.006
-0.4,0.88,0.94,30.8,1.002
-0.24,0.93,0.94,30.8,1.006
-0.43,0.74,1.26,30.8,1.006
-0.4,0.63,1.04,30.8,1.006
-0.31,0.63,1,30.6,1.002
-0.25,0.62,0.91,30.8,1.002
-0.23,0.63,0.9,30.8,1.002
-0.24,0.66,0.95,30.8,1.006
-0.2,0.68,1,30.8,0.996
-0.2,0.64,1.02,30.6,0.996
-0.24,0.62,1.02,30.6,1.006
-0.26,0.59,0.99,30.8,1
-0.28,0.65,0.91,30.8,1
-0.29,0.67,0.87,30.8,1
-0.28,0.71,0.86,30.8,1
-0.28,0.74,0.85,30.8,0.996
-0.27,1.01,0.86,30.8,0.993
-0.23,0.83,0.87,30.8,0.987
-0.2,0.81,0.7,30.6,0.987
-0.22,0.86,0.85,30.8,0.987
-0.21,0.86,0.83,30.8,0.981
-0.16,0.89,0.43,30.8,0.981
-0.13,0.96,0.44,30.8,0.981
-0.14,1,0.42,30.6,0.981
-0.14,1.02,0.27,30.8,0.981
-0.05,0.97,0.21,30.8,0.981
-0.11,1.13,0.14,30.8,0.978
-0.14,0.98,0.09,30.8,0.981
-0.25,1.08,0.41,30.8,0.987
-0.17,0.94,0.04,30.8,0.987
-0.16,1.01,0.01,30.8,0.99
-0.18,0.94,0.02,30.8,0.987
-0.18,0.98,0.03,30.8,0.99
-0.22,0.98,0.01,30.8,0.996
-0.24,0.99,0.06,30.8,0.987
-0.24,1,0.03,30.8,0.996
-0.22,1.01,0.01,30.8,0.99
-0.23,1,0.01,30.8,0.987
-0.22,0.95,-0.02,30.8,0.99
-0.22,0.94,0,30.8,0.987
-0.26,0.92,-0.03,30.8,0.987
-0.23,1.01,-0.06,30.8,0.99
-0.29,0.93,0,30.8,0.987
-0.33,0.95,-0.12,30.8,0.99
-0.33,0.93,-0.16,30.8,0.99
-0.34,0.9,-0.17,30.8,0.99
-0.35,0.99,-0.19,30.8,0.996
-0.32,0.95,-0.16,31.8,1.018
-0.27,0.98,-0.13,31,1.002
-0.26,0.94,-0.11,31,0.99
-0.25,0.94,-0.07,31,0.987
-0.26,0.92,-0.06,31.6,0.993
-0.28,0.95,-0.11,31.2,0.984
-0.29,0.95,-0.08,31,0.99
-0.31,0.94,-0.09,31,0.99
-0.3,0.92,-0.09,31,0.987
-0.26,0.94,-0.11,31,0.987
-0.23,0.94,-0.09,31,0.99
-0.22,0.93,-0.09,31,0.996
-0.2,0.95,-0.1,31,0.993
-0.19,0.97,-0.12,30.8,0.987
-0.18,1.01,-0.15,30.8,0.993
-0.16,1.01,-0.14,30.8,0.993
-0.17,1,-0.08,30.8,0.993
-0.18,0.99,-0.07,30.8,0.99
-0.2,0.97,-0.07,30.8,0.993
-0.24,0.98,-0.06,30.6,0.99
-0.28,0.93,-0.07,30.8,0.99
-0.3,0.94,-0.09,30.8,0.99
-0.32,0.94,-0.1,30.6,0.99
-0.33,0.93,-0.11,30.6,0.99
-0.33,0.94,-0.1,30.8,0.99
-0.31,0.92,-0.08,30.8,0.99
-0.33,0.9,-0.06,30.8,0.99
-0.34,0.92,-0.06,30.6,0.99
-0.36,0.96,-0.06,30.8,0.99
-0.37,0.95,-0.05,30.8,0.99
-0.38,0.94,-0.05,30.8,0.99
-0.36,0.93,-0.03,30.8,0.99
-0.36,0.91,-0.02,30.8,0.99
-0.37,0.93,-0.03,30.8,0.99
-0.38,0.94,-0.03,30.6,0.99
-0.37,0.96,-0.03,30.8,0.987
-0.34,0.94,-0.01,30.8,0.987
-0.33,0.94,0,30.8,0.99
-0.32,0.98,0,30.8,1
-0.3,0.97,0.02,30.8,1
-0.3,0.93,-0.01,30.8,1
-0.31,0.96,0,30.8,1
-0.32,0.97,0.05,30.8,1.006
-0.31,1,0.04,30.8,1
-0.3,0.99,0.02,30.8,1.006
-0.31,0.96,0.01,30.8,1.008
-0.3,0.95,0.01,30.8,1.008
-0.29,0.98,0,30.8,1.018
-0.3,0.98,0.03,30.8,1.014
-0.32,0.98,0.04,30.8,1.018
-0.3,0.97,0.04,30.8,1.018
-0.3,0.96,0.03,30.8,1.018
-0.31,0.99,0.02,30.8,1.018
-0.3,0.98,0.01,30.8,1.027
-0.3,0.97,0.04,30.8,1.024
-0.3,0.98,0.05,30.8,1.027
-0.3,0.96,0.06,30.8,1.024
-0.3,0.99,0.05,30.8,1.027
-0.29,0.97,0.04,30.8,1.03
-0.28,0.95,0.05,30.8,1.034
-0.27,0.95,0.04,30.8,1.034
-0.28,1.03,0.08,30.8,1.037
-0.43,1.24,0.42,30.8,1.043
-0.62,1.55,0.25,30.8,1.043
-0.42,1.3,0.08,30.8,1.046
-0.18,0.73,-0.16,30.8,1.043
-0.21,0.43,-0.14,30.8,1.046
-0.38,0.52,0,30.8,1.046
-0.54,0.78,0.2,30.8,1.046
-0.6,0.93,0.29,30.8,1.052
-0.58,0.91,0.31,30.8,1.052
-0.54,0.9,0.31,30.8,1.043
-0.56,0.92,0.31,30.8,1.046
-0.59,0.88,0.27,30.8,1.046
-0.61,0.81,0.22,30.6,1.046
-0.61,0.77,0.27,30.8,1.046
-0.6,0.82,0.29,30.6,1.052
-0.59,0.83,0.35,30.8,1.046
-0.57,0.79,0.23,30.8,1.046
-0.3,0.57,0.07,30.8,1.046
0.05,0.49,0.08,30.8,1.046
0.16,0.76,0.54,30.8,1.046
0.05,1.5,0.84,30.8,1.043
