File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
0.73,-0.04,-0.04,31.2,1.227
0.5,0.22,-0.01,31.2,1.245
0.56,0.23,0.02,31.2,1.245
0.31,0.98,0,31.2,1.256
0.04,1.33,-1.28,31.2,1.256
-1.21,-0.24,-0.95,31.2,1.364
-0.71,0.66,-1.22,31.2,1.517
-0.15,0.45,-0.56,31.2,1.565
-0.15,0.37,-0.48,31.2,1.578
-0.32,0.35,-0.69,31.2,1.565
-0.31,0.33,-0.74,31.2,1.565
-0.26,0.4,-0.75,31.2,1.552
-0.27,0.39,-0.72,31.2,1.543
-0.46,0.35,-0.73,31.2,1.539
-0.6,0.52,-0.95,31.2,1.536
-0.36,0.7,-0.67,31.4,1.527
-0.09,0.48,-0.76,31.2,1.527
0.17,0.4,-0.46,31.2,1.527
0.19,0.29,-0.38,31.2,1.527
0,0.14,-0.35,31.2,1.517
-0.4,0.35,-1.29,31.2,1.514
-0.51,0.19,-0.87,31.2,1.501
-0.6,0.33,-0.88,31.2,1.489
-0.35,0.36,-0.75,31.2,1.485
-0.3,0.4,-0.6,31.2,1.476
-0.42,0.45,-0.74,31.2,1.464
-0.71,0.5,-1.23,31.2,1.464
-0.49,0.58,-0.91,31.2,1.457
-0.3,0.5,-0.66,31.2,1.452
-0.05,0.42,-0.49,31.2,1.457
0.05,0.13,-0.04,31.2,1.452
0.06,0,-0.36,31.2,1.452
0.05,0.45,-0.77,31.4,1.452
-0.29,0.11,-0.78,31.2,1.44
-0.19,0.24,-1.01,31.2,1.431
-0.06,0.55,-0.9,31.2,1.428
-0.14,0.46,-0.82,31.2,1.428
-0.19,0.39,-0.81,31.2,1.419
-0.2,0.35,-0.72,31.2,1.416
-0.17,0.32,-0.72,31.2,1.416
-0.16,0.34,-0.68,31.2,1.416
-0.21,0.28,-0.79,31.2,1.416
-0.24,0.29,-0.59,31.2,1.416
-0.59,0.7,-1.33,31.2,1.404
-0.11,0.55,-0.72,31.2,1.412
0.19,1.02,-0.43,31.2,1.404
0.14,0.63,-0.19,31.2,1.412
0.04,0.56,-0.38,31.2,1.409
-0.11,0.24,-0.51,31.2,1.404
-0.38,0.17,-0.78,31.2,1.404
-0.29,0.28,-0.81,31.2,1.395
-0.14,0.44,-0.8,31.2,1.404
-0.14,0.55,-0.82,31.2,1.412
-0.17,0.53,-0.74,31.2,1.409
-0.16,0.54,-0.74,31.2,1.404
-0.18,0.5,-0.7,31.2,1.404
-0.15,0.5,-0.7,31.2,1.404
-0.14,0.5,-0.68,31.2,1.395
-0.12,0.51,-0.69,31.2,1.395
-0.13,0.48,-0.68,31.2,1.4
-0.13,0.5,-0.69,31.2,1.392
-0.13,0.51,-0.7,31.2,1.397
-0.12,0.5,-0.67,31.2,1.392
-0.08,0.48,-0.7,31.2,1.392
-0.08,0.51,-0.68,31.4,1.392
-0.1,0.48,-0.68,31.4,1.384
-0.11,0.48,-0.71,31.2,1.38
-0.18,0.48,-0.78,31.2,1.38
-0.27,0.5,-0.95,31.2,1.38
-0.11,0.54,-0.72,31.2,1.38
0.35,0.83,-0.38,31.2,1.38
0.12,0.49,-0.33,31.4,1.38
-0.22,0.31,-0.74,31.2,1.38
-0.18,0.37,-0.81,31.2,1.38
-0.05,0.44,-0.69,31.2,1.368
0,0.5,-0.6,31.2,1.368
0,0.55,-0.58,31.2,1.372
-0.05,0.44,-0.41,31.4,1.368
-0.21,0.41,-0.16,31.2,1.368
-0.61,0.63,-0.68,31.2,1.368
-0.86,0.04,-0.09,31.2,1.368
-1.1,1.46,-0.76,31.2,1.377
-0.85,0.85,-0.34,31.2,1.38
-0.8,1.19,-0.16,31.2,1.38
-0.73,1.11,0.06,31.2,1.38
-0.73,1.18,0.04,31.2,1.38
-0.63,1.18,-0.11,31.2,1.392
-0.47,0.99,0.03,31.2,1.38
-0.39,0.83,0.01,31.2,1.38
-0.12,0.97,0.01,31.2,1.38
0.12,0.58,0.04,31.2,1.38
0.35,0.46,0.04,31.2,1.372
0.34,0.24,-0.03,31.2,1.38
0.2,0.33,-0.75,31.2,1.368
0.25,0.39,-0.83,31.2,1.368
0,0.42,-0.44,31.2,1.373
-0.07,0.39,-1.03,31.2,1.365
0.07,0.76,-0.96,31.2,1.357
0.22,0.66,-0.73,31.2,1.357
0.12,0.78,-0.64,31.2,1.349
0.09,0.53,-0.4,31.2,1.349
0.01,0.34,-0.4,31.2,1.345
-0.24,0.14,-0.7,31.4,1.345
-0.38,0.13,-0.98,31.2,1.345
-0.26,0.28,-0.9,31.4,1.345
-0.21,0.38,-0.86,31.4,1.342
-0.24,0.38,-0.8,31.2,1.334
-0.46,0.79,-1.34,31.2,1.342
-0.14,0.58,-0.8,31.4,1.334
0.15,0.62,-0.48,31.2,1.342
0.1,0.42,-0.33,31.2,1.334
-0.07,0.16,-0.5,31.2,1.342
-0.12,0.21,-0.7,31.2,1.334
-0.07,0.27,-0.75,31.2,1.334
-0.09,0.23,-0.64,31.4,1.334
-0.26,0.36,-0.98,31.2,1.337
-0.71,0.45,-0.86,31.2,1.345
-0.34,0.63,-0.84,31.2,1.345
-0.04,1.14,-0.67,31.2,1.345
-0.12,0.89,-0.28,31.2,1.345
-0.18,0.66,-0.54,31.4,1.345
