File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 13:02:49 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
1.79,-0.64,1.04,23.3,0
2,-0.51,1.01,23.1,0
1.36,0.18,0.72,23.3,0
0.64,1,0.56,23.3,0
-0.6,1.23,0.57,23.3,0
-1.1,0.77,0.89,23.3,0
-0.96,0.06,1.35,23.3,0
-0.59,-0.34,1.43,23.3,0
-0.33,-0.26,1.41,23.3,0
-0.27,-0.19,1.11,23.3,0
-0.18,-0.14,0.98,23.3,0
-0.37,0.02,0.62,23.3,0
-0.34,-0.01,0.67,23.3,0
-0.14,0.01,0.88,23.3,0
0.23,0.22,1.2,23.3,0
0.95,0.29,1.52,23.3,0
1.28,0.09,1.54,23.3,0
1.32,-0.02,1.32,23.3,0
0.41,0.29,0.96,23.3,0
0.34,0.27,0.88,23.1,0
0.41,0.18,0.83,23.3,0
0.69,0.16,0.93,23.3,0
0.67,0.08,0.7,23.3,0
0.88,-0.05,0.69,23.3,0
0.89,0.13,0.77,23.3,0
0.69,0.26,0.97,23.3,0
0.62,0.18,1,23.3,0
0.6,0.26,1.14,23.3,0
0.53,0.09,1.06,23.3,0
0.51,0.05,1.02,23.3,0
0.57,0.1,1.03,23.3,0
0.38,0.23,0.97,23.3,0
0.31,0.55,0.89,23.3,0
0.53,0.3,1.2,23.3,0
0.75,0.1,1.07,23.3,0
0.64,0.48,0.99,23.3,0
0.62,0.39,0.9,23.3,0
0.61,0.45,0.95,23.3,0
0.57,0.34,0.83,23.3,0
0.45,0.3,0.81,23.3,0
0.52,0.26,0.87,23.3,0
0.59,0.33,0.92,23.3,0
0.69,0.3,0.86,23.3,0
0.59,0.43,0.94,23.3,0
0.68,0.58,1.09,23.3,0
1.06,0.53,0.95,23.3,0
1.14,0.41,0.9,23.3,0
1.28,0.55,1,23.3,0
0.72,0.58,0.76,23.3,0
0.04,0.77,0.12,23.3,0
-0.5,0.2,0.45,23.3,0
-0.15,-0.21,1.3,23.3,0
0.82,-0.34,1.56,23.3,0
0.34,-0.41,1.64,23.3,0
-0.14,-0.36,1.13,23.3,0
-0.26,-0.41,1.09,23.3,0
-0.17,-0.42,0.48,23.3,0
0.18,-0.36,0.77,23.3,0
0.42,-0.17,1.53,23.3,0
